"id","name"
6620,"синий"
6621,"черный/серебристый"
6622,"синий/серебристый"
6623,"красный/серебристый"
6624,"серебристый"
6625,"белый"
6626,"желтый"
6627,"красный"
6628,"ярко-синий"
6629,"черный"
6630,"серебристый/красный/черный"
6631,"синий классический"
6632,"лайм"
6633,"синий прозрачный/серебристый"
6634,"красный прозрачный/серебристый"
6635,"белый/серебристый"
6636,"голубой"
6637,"зеленый"
6638,"синий прозрачный"
6639,"белый прозрачный"
6640,"черный прозрачный"
6641,"прозрачный светло-голубой"
6642,"красный прозрачный"
6643,"оранжевый прозрачный"
6644,"пурпурный прозрачный"
6645,"серебристый/черный"
6646,"бежевый/черный"
6647,"бежевый/лайм"
6648,"синий/черный"
6649,"красный/черный"
6650,"ярко-синий/серебристый"
6651,"черный, золотистый"
6652,"черный/золотистый"
6653,"белый/золотистый"
6654,"оранжевый"
6655,"голубой/серебристый"
6656,"оранжевый/серебристый"
6657,"лайм/серебристый"
6658,"синий классический/серебристый"
6659,"зеленый/серебристый"
6660,"светло-коричневый"
6661,"черный/серебристый/белый"
6662,"синий/серебристый/белый"
6663,"синий прозрачный/желтый"
6664,"прозрачный/желтый"
6665,"медный"
6666,"прозрачный/черный"
6667,"прозрачный/белый"
6668,"черный/красный"
6669,"белый/серый"
6670,"розовый"
6671,"темно-синий"
6672,"лавандовый"
6673,"бургунди"
6674,"серый"
6675,"темно-серый/серый/светло-серый/черный"
6676,"темно-синий/синий/голубой/черный"
6677,"зеленый/лайм/желтый"
6678,"зеленое яблоко"
6679,"фуксия"
6680,"неоновый зеленый"
6681,"светло-коричневый, черный/серебристый"
6682,"прозрачный"
6683,"белый/11259901"
6684,"зеленый/черный"
6685,"бесцветный полупрозрачный /синий"
6686,"бесцветный полупрозрачный /оранжевый"
6687,"бесцветный полупрозрачный /лайм"
6688,"синий/белый/прозрачный"
6689,"оранжевый/белый/прозрачный"
6690,"лайм/белый/прозрачный"
6691,"дерево/белый"
6692,"белый/черный"
6693,"белый/синий прозрачный"
6694,"белый/зеленый прозрачный"
6695,"классический синий"
6696,"темно-синий/белый"
6697,"серый меланж"
6698,"темно-синий/серый"
6699,"желтый/черный"
6700,"оранжевый/черный"
6701,"розовый/черный"
6702,"аква/белый"
6703,"зеленый/белый"
6704,"темно-серый/серый/светло-серый"
6705,"синий/голубой/светло-голубой"
6706,"красный/оранжевый/желтый"
6707,"темно-зеленый/зеленый/желто-зеленый"
6708,"синий/небесно-синий/голубой"
6709,"черный/белый"
6710,"черный/оранжевый"
6711,"темно-синий/классический синий"
6712,"черный/серый"
6713,"черный/ярко-синий"
6714,"тёмно-синий/белый"
6715,"зеленое яблоко/белый"
