"id","name"
2770,"алюминий"
2771,"металл"
2772,"АБС пластик"
2773,"алюминий/металл/силикон"
2774,"пластик/алюминий"
2775,"пластик"
2776,"алюминий/АБС пластик"
2777,"нержавеющая сталь/тарпаулин"
2778,"алюминий/АБС пластик/нержавеющая сталь"
2779,"переработанный пластик"
2780,"переработанный ПЭТ-пластик"
2781,"картон"
2782,"пластик/металл"
2783,"переработанный картон/пластик"
2784,"полиуретан термоустойчивый"
2785,"полипропилен"
2786,"металл/акрил"
2787,"АБС пластик/ЕВА"
2788,"АБС пластик с мягким на ощупь покрытием"
2789,"ПВХ/АБС пластик"
2790,"неопрен"
2791,"АБС пластик/металл"
2792,"алюминий, пластик"
2793,"АБС пластик/силикон"
2794,"полиэстер"
2795,"полиэстер/металл/дерево"
2796,"полиэстер/дерево"
2797,"полиэстер, дерево"
2798,"эпонж полиэстер"
2799,"полиэстер/пластик/металл"
2800,"полиэстер эпонж"
2801,"полиэстер, металл, пластик"
2802,"полиэстер/металл/стекловолокно/прорезиненный пластик"
2803,"полиэстер, металл, стекловолокно, прорезиненный пластик"
2804,"Стекло"
2805,"Бамбук/нержавеющая сталь"
2806,"дерево"
2807,"нетканый полипропилен"
2808,"акрил"
2809,"АБС пластик/нержавеющая сталь"
2810,"Полиэтилен"
2811,"хлопок"
2812,"хлопок/резина"
2813,"бамбук"
2814,"искусственная кожа/металл"
2815,"алюминий/нейлон"
2816,"цинковый сплав"
2817,"натуральная кожа"
2818,"тарпаулин"
2819,"100% хлопок, джерси"
2820,"полиэстер 600D"
2821,"нейлон 210D"
2822,"нейлон/полиэстер"
2823,"нейлон Dobby"
2824,"полиуретан/пластик"
2825,"ПВХ"
2826,"нейлон с алмазным покрытием рипстоп"
2827,"ромбовидный рипстоп из полиэстера 600D и 75D"
2828,"нейлон с алмазным покрытием/полиэстер"
2829,"полиэстер 300D"
2830,"полиэстер 420D"
2831,"полиэстер/нейлон"
2832,"полиэстер 600D, 420D"
2833,"полиуретан"
2834,"алюминий/силикон"
2835,"дерево, холщовая ткань, ПЭТ-пластик"
2836,"ПЭТ-пластик, полиэстер, бумага"
2837,"полиэстер флис"
2838,"прорезиненный пластик"
2839,"металл с покрытием софт-тач"
2840,"стекло"
2841,"нержавеющая сталь"
2842,"нерж.сталь/пластик"
2843,"хрусталь"
2844,"хрусталь/позолочение"
2845,"латунь/бронза/серебро, позолота"
2846,"латунь/кожа ската/серебро"
2847,"нержавеющая cталь/пластик"
2848,"пластик/полиуретан"
2849,"латунь с покрытием GUN"
2850,"лаковое покрытие/латунь"
2851,"латунь"
2852,"латунь/лаковое покрытие"
2853,"латунь/хромовое покрытие"
2854,"нержавеющая сталь, лак, латунь, хромирование"
2855,"алюминий/лак"
2856,"100% шелк"
2857,"натуральная кожа/латунь"
2858,"керамика"
2859,"силикон"
2860,"полистоун"
2861,"полиэстер/пластик"
2862,"искусственная кожа"
2863,"пластик/металл/ПВХ"
2864,"нержавеющая сталь/пластик"
2865,"полиэстер/нерж.сталь/пластик"
2866,"фарфор/силикон"
2867,"дерево/металл"
2868,"металл/стекло"
2869,"85% акриловое волокно, 10% спандекс, 5% проводящая пряжа"
2870,"металл/полиэстер"
2871,"ЭВА/пластик/металл/полиэстер"
2872,"полиэстер/ПВХ"
2873,"искусственная кожа, металл, пластик"
2874,"металл, пластик"
2875,"полиэстер/металл/искусственная кожа"
2876,"полиэстер/метал/искуственная кожа"
2877,"эпонж/металл/пластик/шелк"
2878,"эпонж/металл/пластик"
2879,"полиэстер/ флис"
2880,"полиэстер/флис"
2881,"искусственная кожа/дерево/металл/фланель"
2882,"металл/ПВХ"
2883,"дерево/хлопок/резина"
2884,"металл/пластик"
